GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML evaluator example applications,org.jpmml.evaluator,EvaluationExample,571,0,50,0,129,0,29,0,4,0
JPMML evaluator example applications,org.jpmml.evaluator,RecordCountingExample,197,0,12,0,46,0,9,0,3,0
JPMML evaluator example applications,org.jpmml.evaluator,TestingExample.new Batch() {...},28,0,0,0,6,0,6,0,6,0
JPMML evaluator example applications,org.jpmml.evaluator,TestingExample,161,0,8,0,35,0,10,0,6,0
JPMML evaluator example applications,org.jpmml.evaluator,Example,146,0,2,0,39,0,10,0,9,0
JPMML evaluator example applications,org.jpmml.evaluator,SeparatorConverter,26,71,5,14,10,22,7,9,2,2
JPMML evaluator example applications,org.jpmml.evaluator,ParameterOrderComparator,73,0,10,0,22,0,8,0,3,0
JPMML evaluator example applications,org.jpmml.evaluator,Example.new Function() {...},72,0,12,0,15,0,9,0,3,0
JPMML evaluator example applications,org.jpmml.evaluator,RecordCountingExample.new AbstractVisitor() {...},103,0,4,0,21,0,6,0,4,0
JPMML evaluator example applications,org.jpmml.evaluator,Example.new Function() {...},17,0,2,0,5,0,3,0,2,0
JPMML evaluator example applications,org.jpmml.evaluator,FieldNameConverter,8,0,0,0,3,0,2,0,2,0
JPMML evaluator example applications,org.jpmml.evaluator,EnhancementExample,265,0,20,0,62,0,13,0,3,0
