GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator,304,880,43,90,51,219,44,55,5,23
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,SegmentResult,12,51,0,0,4,19,2,8,2,8
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},11,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new VoteAggregator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new Object() {...},12,81,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningVoteDistribution,0,9,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningScore,0,4,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningScore() {...},3,10,0,0,1,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningProbabilityDistribution() {...},3,10,0,0,1,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new CacheLoader() {...},0,10,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new Object() {...},12,77,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new SegmentResult() {...},0,20,0,0,0,3,0,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new Function() {...},6,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningProbabilityDistribution() {...},13,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningVoteDistribution() {...},3,10,0,0,1,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluationContext,7,92,3,7,1,26,2,12,0,9
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningProbabilityDistribution,0,4,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil,241,193,49,31,66,55,39,15,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.Fraction,0,58,0,4,0,11,0,4,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new Object() {...},2,17,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new VoteAggregator() {...},0,12,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator,70,194,16,27,16,59,18,9,2,3
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ReasonCodeRanking,21,28,1,1,6,10,2,4,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator.java,JavaModel,368,0,8,0,84,0,35,0,31,0
PMML class model evaluator code coverage,org.jpmml.evaluator.java,JavaModelEvaluator,33,0,0,0,9,0,5,0,5,0
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeVote() {...},6,11,0,0,1,2,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeScore() {...},10,8,0,0,2,1,2,1,2,1
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new PathFinder() {...},0,14,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeScoreDistribution() {...},6,12,0,0,1,2,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new Object() {...},6,45,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new CacheLoader() {...},0,52,0,4,0,12,0,5,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,NodeScoreDistribution,49,91,7,5,11,30,8,12,3,11
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,NodeVote,13,37,1,1,4,14,2,5,1,5
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,PathFinder,0,58,1,5,0,17,1,6,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator,98,577,21,69,19,146,22,46,1,20
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.Trail,5,63,1,1,1,25,1,12,0,12
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,NodeScore,23,16,1,1,7,7,4,2,3,2
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelUtil,72,161,20,18,21,43,19,12,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelUtil.new Object() {...},9,59,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelEvaluator.new Object() {...},11,75,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelEvaluator,197,372,37,63,41,92,34,25,2,5
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator,265,523,47,59,46,148,43,24,2,10
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,KernelUtil,193,178,31,21,37,36,26,11,4,7
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,VoteMap,3,13,0,0,2,5,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator.new Object() {...},5,43,0,0,0,3,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator.new VoteMap() {...},0,13,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,DistanceDistribution,0,5,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,VoteDistribution,19,55,2,4,5,17,4,5,2,4
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,MarkupInspector,1,31,1,1,1,9,1,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector,148,101,2,16,24,25,13,11,11,4
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ValueOptimizer.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ValueOptimizer.Mode,0,29,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,UnsupportedMarkupInspector.new Object() {...},9,87,0,0,0,8,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,MiningFieldInterner.new ElementHashMap() {...},0,19,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementOptimizerBattery,0,7,0,0,0,3,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ValueOptimizer,182,471,39,51,42,141,38,39,6,26
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ScoreDistributionInterner,2,44,2,6,1,9,2,5,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner,2,113,2,10,1,28,2,13,0,9
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,NodeResolver,5,60,2,8,1,16,3,6,1,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,MiningFieldInterner,2,50,3,7,1,11,3,5,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementHashMap,0,23,0,2,0,7,0,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementInternerBattery,0,15,0,0,0,5,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,NodeResolver.new Object() {...},1,11,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},0,19,0,0,0,3,0,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},27,0,2,0,4,0,5,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,UnsupportedMarkupInspector,329,31,31,1,82,8,37,3,21,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.CollectionSize,4,28,2,2,1,8,2,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,32,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,29,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementKey,2,41,1,1,1,13,1,6,0,6
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidMarkupInspector.Condition,4,21,1,1,1,8,1,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ScoreDistributionInterner.new ElementHashMap() {...},0,35,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator,151,251,19,20,33,62,19,12,3,8
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new Object() {...},3,27,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},8,3,0,0,2,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,18,0,0,0,4,0,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new ClusterAffinityDistribution() {...},0,12,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusterAffinityDistribution,12,27,0,0,3,9,3,6,3,6
