GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator,430,754,54,79,80,190,47,52,6,22
JPMML evaluator,org.jpmml.evaluator.mining,SegmentResult,12,51,0,0,4,19,2,8,2,8
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},11,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new VoteAggregator() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningVoteDistribution,9,0,0,0,4,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningScore,4,0,0,0,2,0,1,0,1,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningScore() {...},13,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningProbabilityDistribution() {...},3,10,0,0,1,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new CacheLoader() {...},0,10,0,0,0,3,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new SegmentResult() {...},0,20,0,0,0,3,0,3,0,3
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new Function() {...},6,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningProbabilityDistribution() {...},13,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new MiningVoteDistribution() {...},13,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluationContext,16,83,4,6,4,23,4,10,1,8
JPMML evaluator,org.jpmml.evaluator.mining,MiningProbabilityDistribution,0,4,0,0,0,2,0,1,0,1
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil,326,108,60,20,89,32,45,9,2,1
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.Fraction,0,58,0,4,0,11,0,4,0,2
JPMML evaluator,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new VoteAggregator() {...},0,12,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.scorecard,ScorecardEvaluator,70,194,16,27,16,59,18,9,2,3
JPMML evaluator,org.jpmml.evaluator.scorecard,ReasonCodeRanking,21,28,1,1,6,10,2,4,1,4
JPMML evaluator,org.jpmml.evaluator.java,JavaModel,368,0,8,0,84,0,35,0,31,0
JPMML evaluator,org.jpmml.evaluator.java,JavaModelEvaluator,33,0,0,0,9,0,5,0,5,0
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeVote() {...},6,11,0,0,1,2,1,2,1,2
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeScore() {...},18,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new PathFinder() {...},0,14,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new NodeScoreDistribution() {...},6,12,0,0,1,2,1,2,1,2
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new CacheLoader() {...},0,52,0,4,0,12,0,5,0,3
JPMML evaluator,org.jpmml.evaluator.tree,NodeScoreDistribution,49,91,7,5,11,30,8,12,3,11
JPMML evaluator,org.jpmml.evaluator.tree,NodeVote,13,37,1,1,4,14,2,5,1,5
JPMML evaluator,org.jpmml.evaluator.tree,PathFinder,0,58,1,5,0,17,1,6,0,4
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator,133,542,23,67,27,138,24,44,2,19
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.Trail,5,63,1,1,1,25,1,12,0,12
